ID,Customer Name,Sales Person (Sales Team),Coordinators,Customer Group,Zone,Total_Target,Total_Achievement,N_brands_active,Overall_Achievement_pct,is_zero_achiever
ETLCUST-00346,M.M. COMPUTER - KHILKHET,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,0.0,0,,False
ETLCUST-00348,TARIF ENTERPRISE - BADDA,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,0.0,0,,False
ETLCUST-00931,P4 TRADING - GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,0.0,0.0,0,,False
ETLCUST-00939,SUPER KING - GULISTAN,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,0.0,0.0,0,,False
ETLCUST-01570,RANA ELECTRONICS - GULISTAN,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,0.0,0.0,0,,False
ETLCUST-03408,ISRAT TRADE INTERNATIONAL - GULISTAN,Noor Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,0.0,0.0,0,,False
ETLCUST-00349,NET BANGLA LTD - UTTARA,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,0.0,0,,False
ETLCUST-04424,SMART SOFT LIMITED - BANANI,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,0.0,0,,False
ETLCUST-02964,AL - FARUQUE ELECTRONICS - MOTIJHEEL,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,500000.0,0.0,1,0.0,True
ETLCUST-00321,R.R. COMPUTERS - BANANI,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,0.0,0,,False
ETLCUST-01239,IT GARDEN - E.PLUS,Md. Akram Rashid,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,0.0,0.0,0,,False
ETLCUST-05260,S.K ENERGY SOLUTION - JATRABARI,,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,0.0,0.0,0,,False
