ID,Customer Name,Sales Person (Sales Team),Coordinators,Customer Group,Zone,Total_Target,Total_Achievement,N_brands_active,Overall_Achievement_pct,is_zero_achiever
ETLCUST-03135,MOLLA ELECTRONICS-02 - GULISTAN,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,2500000.0,575850.0,1,0.23034,False
ETLCUST-00140,TECHNOLOGY PARK - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,2341200.0,73900.0,9,0.031565009396890484,False
ETLCUST-03622,NAIM ENTERPRISE - GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,10000000.0,3098350.0,1,0.309835,False
ETLCUST-03009,KAMAL ELECTRONICS - GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,2500000.0,1214500.0,1,0.4858,False
ETLCUST-01414,ABDULLAH ENTERPRISE - GAZIPUR,Md. Rahad,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,13065000.0,7924955.0,7,0.606579027937237,False
ETLCUST-01432,TL TELECOM - KONABARI,MD. Shipon Ali,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,13780000.0,6400360.0,10,0.4644673439767779,False
ETLCUST-04296,UTTARA PC SOLUTIONS - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,420000.0,222000.0,4,0.5285714285714286,False
ETLCUST-00942,BEPARI ENTERPRISE - GULISTAN,Noor Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,1500000.0,575900.0,1,0.38393333333333335,False
ETLCUST-00364,GOOD LUCK STATIONERY - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,874000.0,40000.0,5,0.04576659038901602,False
ETLCUST-04904,DISH PLUS - GAZIPUR,Md. Rahad,Mr. Ajit Kumar Dey ,CG - GAZIPUR,Uttara,13000000.0,8977400.0,8,0.6905692307692308,False
ETLCUST-00127,IT PARK AND NETWORKING - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,1473932.0,518600.0,12,0.3518479821321472,False
ETLCUST-00132,PC CARNIVAL - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,13200.0,1,,False
